store_name,store_address,book_name,pages,author_name,price,logo
BookWorld,123 Main St,The Great Gatsby,180,F. Scott Fitzgerald,15.99,
BookWorld,123 Main St,To Kill a Mockingbird,281,Harper Lee,12.99,
BookWorld,123 Main St,1984,328,George Orwell,14.99,
BookWorld,123 Main St,Pride and Prejudice,432,Jane Austen,11.99,
BookWorld,123 Main St,The Catcher in the Rye,234,J.D. Salinger,13.99,
BookWorld,123 Main St,Animal Farm,112,George Orwell,9.99,
Literary Corner,456 Oak Ave,The Great Gatsby,180,F. Scott Fitzgerald,16.99,
Literary Corner,456 Oak Ave,Brave New World,288,Aldous Huxley,14.49,
Literary Corner,456 Oak Ave,The Hobbit,310,J.R.R. Tolkien,18.99,
Literary Corner,456 Oak Ave,Fahrenheit 451,158,Ray Bradbury,12.49,
Literary Corner,456 Oak Ave,The Lord of the Rings,1178,J.R.R. Tolkien,29.99,
Page Turner Books,789 Book Lane,Moby Dick,635,Herman Melville,19.99,
Page Turner Books,789 Book Lane,War and Peace,1225,Leo Tolstoy,24.99,
Page Turner Books,789 Book Lane,Crime and Punishment,671,Fyodor Dostoevsky,17.99,
Page Turner Books,789 Book Lane,Anna Karenina,864,Leo Tolstoy,22.99,
Page Turner Books,789 Book Lane,The Brothers Karamazov,824,Fyodor Dostoevsky,21.99,
